Program,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BBA,MKT 3336,Marketing Management,A,SeyS,"March 11, 2024",9:00 AM - 10:45 AM,202 (111171117-111211052)                                                                                                                                                                                                                       203 (111211070-111221184)
BBA,MKT 4101,Consumer Behavior,A,SRA,"March 11, 2024",9:00 AM - 10:45 AM,204 (111151098-111201022)                                                                                                                                                                                                                       205 (111201048-111203012)
BBA,MKT 4101,Consumer Behavior,B,MKHn,"March 11, 2024",9:00 AM - 10:45 AM,206 (111161100-111201017)                                                                                                                                                                                                                       207 (111201033-111211097)
BBA,HRM 4363,International Human Resource Management,A,MKHq,"March 11, 2024",11:15 AM - 1:00 PM,209 (111132224-111203012)
BBA,MKT 2320,Introduction to Marketing,A,SRA,"March 11, 2024",11:15 AM - 1:00 PM,210 (111192062-111221096)                                                                                                                                                                                                                       211 (111221124-1212230016)
BBA,MKT 2320,Introduction to Marketing,B,SRA,"March 11, 2024",11:15 AM - 1:00 PM,222 (111171196-111221151)                                                                                                                                                                                                                       223 (111221154-1212230017)
BBA,SOC 1105,Sociology and Psychology,A,ShaIs,"March 11, 2024",11:15 AM - 1:00 PM,210 (111201079-1112310004)                                                                                                                                                                                                                       211 (1112310023-1142320012)
BBA,SOC 1105,Sociology and Psychology,B,ShaIs,"March 11, 2024",11:15 AM - 1:00 PM,222 (111201154-1112310131)                                                                                                                                                                                                                       223 (1112320009-1142320002)
BBA,SOC 1105,Sociology and Psychology,C,ShaIs,"March 11, 2024",11:15 AM - 1:00 PM,224 (111193044-1112230107)                                                                                                                                                                                                                       225 (1112230112-1212310001)
BBA,SOC 1105,Sociology and Psychology,D,ShaIs,"March 11, 2024",11:15 AM - 1:00 PM,228 (111193087-1212310018)
BBA,LAW 2106/LAW 4151,Business Law/Commercial & Industrial Laws,A,Jkn,"March 11, 2024",1:45 PM - 3:30 PM,202 (111183076-111211023)                                                                                                                                                                                                                       203 (111211042-114213012)
BBA,LAW 2106/LAW 4151,Business Law/Commercial & Industrial Laws,B,Jkn,"March 11, 2024",1:45 PM - 3:30 PM,204 (111143295-111201233)                                                                                                                                                                                                                       205 (111201240-111222107)
BBA,CST 1206/CST 1303,Computer Application in Business/Computer Applications,A,Jkn,"March 12, 2024",9:00 AM - 10:45 AM,Computer Lab 2 (0227) (1112230197-1142330025)
BBA,CST 1206/CST 1303,Computer Application in Business/Computer Applications,C,MdSA,"March 12, 2024",9:00 AM - 10:45 AM,Computer Lab 3 (0327) (111212036-1112330090)                                                                                                                                                                                                                       Computer Lab 4 (0427) (1112330114-114222009)
BBA,CST 1206/CST 1303,Computer Application in Business/Computer Applications,D,Jkn,"March 12, 2024",9:00 AM - 10:45 AM,Computer Lab 1 (0226) (111183101-1112330131)                                                                                                                                                                                                                       Computer Lab 6 (0524) (1112330133-1142330028)
BBA,CST 1206/CST 1303,Computer Application in Business/Computer Applications,E,MdSA,"March 12, 2024",9:00 AM - 10:45 AM,Computer Lab 7 (0522) (111201135-1112330084)                                                                                                                                                                                                                       Computer Lab 8 (0528) (1112330115-1142330030)
BBA,FIN 2319,Principles of Finance,A,MUd,"March 12, 2024",9:00 AM - 10:45 AM,202 (111161188-1212230012)
BBA,FIN 2319,Principles of Finance,B,MA,"March 12, 2024",9:00 AM - 10:45 AM,203 (111162027-111221009)                                                                                                                                                                                                                       204 (111221018-114222006)
BBA,FIN 2319,Principles of Finance,C,MUd,"March 12, 2024",9:00 AM - 10:45 AM,205 (111181064-111221062)                                                                                                                                                                                                                       206 (111221081-1212230013)
BBA,FIN 3123,Managerial Finance,A,MUd,"March 12, 2024",9:00 AM - 10:45 AM,203 (111172068-111201266)                                                                                                                                                                                                                       204 (111202030-114221028)
BBA,FIN 3123,Managerial Finance,B,NFa,"March 12, 2024",9:00 AM - 10:45 AM,205 (111143295-111212089)                                                                                                                                                                                                                       206 (111213002-114221024)
BBA,FIN 3123,Managerial Finance,C,NFa,"March 12, 2024",9:00 AM - 10:45 AM,207 (111173014-114221022)
BBA,FIN 4219,Securities Analysis and Portfolio Management,A,MMs,"March 12, 2024",9:00 AM - 10:45 AM,201 (111173065-114202015)
BBA,ACN 4342/AIS 3310,Accounting Information Systems,A,MTH,"March 12, 2024",11:15 AM - 1:00 PM,Computer Lab 1 (0226) (111162121-111211090)
BBA,CST 1206/CST 1303,Computer Application in Business/Computer Applications,B,MArR,"March 12, 2024",11:15 AM - 1:00 PM,Computer Lab 9 (0529) (1112230213-1142330029)
BBA,CST 1206/CST 1303,Computer Application in Business/Computer Applications,F,MArR,"March 12, 2024",11:15 AM - 1:00 PM,Computer Lab 13 (0326) (111193123-1142330020)
BBA,CST 1206/CST 1303,Computer Application in Business/Computer Applications,G,MdQ,"March 12, 2024",11:15 AM - 1:00 PM,Computer Lab 14 (0426) (111202004-1112330135)                                                                                                                                                                                                                       Computer Lab 15 (0626) (1112330158-1142330026)
BBA,CST 1206/CST 1303,Computer Application in Business/Computer Applications,H,MKB,"March 12, 2024",11:15 AM - 1:00 PM,Computer Lab 19 (0727) (111201228-1112330229)                                                                                                                                                                                                                       Computer Lab 20 (0424) (1112330233-1212230001)
BBA,SCM 4202,Enterprise Resource Planning (ERP),A,NHMS,"March 12, 2024",11:15 AM - 1:00 PM,201 (111192006-111201136)                                                                                                                                                                                                                       202 (111201179-111212082)
